,close,high,low,open,time,volumefrom,volumeto,timestamp
1297,10188.5,10250.3,10170.3,10250.3,1518822000,199.95,2041143.92,2018-02-17 08:00:00
1298,10199.0,10217.0,10056.7,10188.5,1518825600,225.56,2285613.82,2018-02-17 09:00:00
1299,10355.0,10362.0,10184.2,10199.0,1518829200,327.96,3373048.63,2018-02-17 10:00:00
1300,10411.9,10525.4,10355.0,10355.0,1518832800,764.56,7985197.59,2018-02-17 11:00:00
1301,10501.0,10535.0,10409.5,10411.9,1518836400,178.12,1865995.26,2018-02-17 12:00:00
1302,10579.0,10619.8,10501.0,10501.0,1518840000,376.06,3971508.85,2018-02-17 13:00:00
1303,10561.2,10600.0,10475.7,10579.0,1518843600,218.29,2301204.96,2018-02-17 14:00:00
1304,10790.0,10800.0,10558.0,10561.2,1518847200,571.03,6109692.49,2018-02-17 15:00:00
1305,10763.6,10801.0,10636.3,10790.0,1518850800,434.74,4657770.9,2018-02-17 16:00:00
1306,10829.1,10900.0,10715.6,10763.6,1518854400,332.68,3603045.73,2018-02-17 17:00:00
1307,10714.1,10892.4,10701.1,10829.1,1518858000,279.21,3023900.42,2018-02-17 18:00:00
1308,10700.9,10814.9,10650.0,10714.1,1518861600,229.29,2456747.3,2018-02-17 19:00:00
1309,10780.2,10835.0,10696.2,10700.9,1518865200,176.99,1906475.23,2018-02-17 20:00:00
1310,10847.5,10902.0,10774.3,10780.2,1518868800,307.72,3340486.52,2018-02-17 21:00:00
1311,10751.1,10872.0,10711.3,10847.5,1518872400,228.99,2471247.47,2018-02-17 22:00:00
1312,10680.0,10780.0,10573.3,10751.1,1518876000,316.16,3376626.0,2018-02-17 23:00:00
1313,10766.1,10800.0,10677.8,10680.0,1518879600,213.39,2292625.99,2018-02-18 00:00:00
1314,10831.0,10894.7,10739.7,10766.1,1518883200,175.48,1902149.65,2018-02-18 01:00:00
1315,10831.0,10899.0,10798.9,10831.0,1518886800,169.79,1841785.87,2018-02-18 02:00:00
1316,10790.2,10840.0,10724.7,10831.0,1518890400,230.37,2482722.34,2018-02-18 03:00:00
1317,10724.1,10800.0,10701.3,10790.2,1518894000,177.44,1907119.89,2018-02-18 04:00:00
1318,10780.5,10803.4,10701.2,10724.1,1518897600,168.6,1810769.08,2018-02-18 05:00:00
1319,10840.7,10864.0,10764.5,10780.5,1518901200,164.08,1777301.95,2018-02-18 06:00:00
1320,10960.0,10986.0,10772.8,10840.7,1518904800,423.15,4611233.07,2018-02-18 07:00:00
1321,11100.0,11131.9,10948.4,10960.0,1518908400,691.33,7638512.75,2018-02-18 08:00:00
1322,11143.1,11155.0,10983.0,11100.0,1518912000,337.59,3736468.83,2018-02-18 09:00:00
1323,11220.0,11299.0,11138.0,11143.1,1518915600,513.6,5756144.2,2018-02-18 10:00:00
1324,11136.0,11308.8,11104.7,11220.0,1518919200,504.97,5666798.25,2018-02-18 11:00:00
1325,10869.8,11205.0,10803.0,11117.3,1518922800,741.08,8147148.24,2018-02-18 12:00:00
1326,10951.7,10982.0,10829.2,10869.8,1518926400,449.09,4899152.84,2018-02-18 13:00:00
1327,10514.0,10978.9,10500.1,10951.7,1518930000,989.07,10579375.47,2018-02-18 14:00:00
1328,10475.1,10717.0,10451.8,10514.0,1518933600,585.78,6199287.89,2018-02-18 15:00:00
1329,10652.4,10724.1,10453.7,10475.1,1518937200,342.39,3629282.12,2018-02-18 16:00:00
1330,10386.6,10671.0,10350.0,10652.4,1518940800,314.12,3291569.88,2018-02-18 17:00:00
1331,10212.0,10492.1,10211.0,10386.6,1518944400,554.85,5748857.7,2018-02-18 18:00:00
1332,10585.0,10589.9,10205.0,10212.0,1518948000,459.71,4789081.88,2018-02-18 19:00:00
1333,10699.9,10764.9,10503.5,10585.0,1518951600,394.88,4200026.02,2018-02-18 20:00:00
1334,10652.7,10700.0,10463.2,10699.9,1518955200,349.14,3703750.54,2018-02-18 21:00:00
1335,10815.0,10898.5,10551.0,10652.7,1518958800,437.12,4719127.21,2018-02-18 22:00:00
1336,10865.0,10868.0,10752.8,10815.0,1518962400,142.17,1537033.74,2018-02-18 23:00:00
1337,10762.6,10998.7,10675.3,10865.0,1518966000,302.98,3286137.79,2018-02-19 00:00:00
1338,10643.0,10820.3,10522.1,10762.6,1518969600,296.07,3151884.24,2018-02-19 01:00:00
1339,10800.4,10813.0,10639.8,10643.0,1518973200,225.59,2422786.71,2018-02-19 02:00:00
1340,10803.7,10858.8,10621.7,10813.0,1518976800,198.2,2130566.34,2018-02-19 03:00:00
1341,10891.9,10900.0,10740.0,10803.7,1518980400,154.99,1679572.64,2018-02-19 04:00:00
1342,10842.3,10908.0,10800.7,10891.9,1518984000,163.09,1771394.09,2018-02-19 05:00:00
1343,10793.8,10842.3,10670.2,10842.3,1518987600,165.21,1777125.82,2018-02-19 06:00:00
1344,10611.0,10818.0,10601.1,10793.8,1518991200,180.68,1929834.09,2018-02-19 07:00:00
1345,10430.0,10611.0,10400.0,10611.0,1518994800,381.2,4003601.56,2018-02-19 08:00:00
1346,10488.8,10535.7,10371.0,10430.0,1518998400,265.0,2768535.96,2018-02-19 09:00:00
1347,10711.9,10711.9,10445.0,10488.8,1519002000,273.82,2906870.45,2018-02-19 10:00:00
1348,10629.9,10711.9,10480.1,10711.9,1519005600,154.34,1636320.48,2018-02-19 11:00:00
1349,10587.4,10699.3,10562.5,10629.9,1519009200,139.23,1479183.58,2018-02-19 12:00:00
1350,10581.2,10653.7,10580.0,10625.0,1519012800,33.84,359475.42,2018-02-19 13:00:00
1351,10555.9,10601.0,10452.1,10581.2,1519016400,185.85,1954755.27,2018-02-19 14:00:00
1352,10563.4,10599.9,10509.7,10555.9,1519020000,72.53,765403.62,2018-02-19 15:00:00
1353,10886.0,10890.0,10555.3,10563.4,1519023600,401.64,4328752.46,2018-02-19 16:00:00
1354,10845.0,10900.0,10752.9,10886.0,1519027200,147.88,1603458.93,2018-02-19 17:00:00
1355,10969.8,10986.0,10754.9,10845.0,1519030800,256.1,2786677.71,2018-02-19 18:00:00
1356,10956.4,11087.0,10949.5,10969.8,1519034400,368.63,4058186.64,2018-02-19 19:00:00
1357,10993.0,11029.9,10913.3,10956.4,1519038000,124.16,1362287.15,2018-02-19 20:00:00
1358,10927.8,11080.0,10923.7,10993.0,1519041600,122.39,1345102.9,2018-02-19 21:00:00
1359,10992.7,11000.0,10898.2,10927.8,1519045200,132.25,1448033.44,2018-02-19 22:00:00
1360,10960.0,11037.9,10922.0,10992.7,1519048800,203.22,2229340.9,2018-02-19 23:00:00
1361,11174.0,11220.0,10958.2,10960.0,1519052400,519.07,5764573.38,2018-02-20 00:00:00
1362,11085.9,11269.5,11057.3,11174.0,1519056000,332.1,3713651.59,2018-02-20 01:00:00
1363,10977.5,11116.9,10913.8,11085.9,1519059600,359.75,3965897.37,2018-02-20 02:00:00
1364,11102.0,11125.2,10930.0,10977.5,1519063200,221.38,2444196.25,2018-02-20 03:00:00
1365,11140.5,11200.0,11026.0,11102.0,1519066800,250.81,2793877.81,2018-02-20 04:00:00
1366,11241.4,11252.0,11077.6,11140.5,1519070400,276.76,3095761.12,2018-02-20 05:00:00
1367,11135.8,11252.2,11054.0,11241.4,1519074000,325.89,3638767.53,2018-02-20 06:00:00
1368,11089.4,11200.0,11065.0,11135.8,1519077600,280.22,3115975.96,2018-02-20 07:00:00
1369,11165.1,11199.8,11070.0,11089.4,1519081200,194.65,2167951.85,2018-02-20 08:00:00
